25 20
#############
#....K......#    ########
#...s...s...######......#
#.W.....................#
#...........######......#
#.....s.....#    #......#
#...........#    #...o..#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #...o..#
  #.......#      #......#
  #...s...#      #..c...#
  #.......#      #......#
  #...o...#      #......#
  #.......#      #......#
  #########       ######
